2025-06-03 16:25:52,900 - 开始训练
2025-06-03 16:25:52,901 - 观察空间维度: 3, 动作空间大小: 21
2025-06-03 16:26:01,151 - Episode 199, Reward: -4486.00, Epsilon: 0.050
2025-06-03 16:26:01,190 - Episode 200, Reward: -3719.50, Epsilon: 0.050
2025-06-03 16:26:01,228 - Episode 201, Reward: -4330.00, Epsilon: 0.050
2025-06-03 16:26:01,266 - Episode 202, Reward: -4863.50, Epsilon: 0.050
2025-06-03 16:26:01,304 - Episode 203, Reward: -3764.00, Epsilon: 0.050
2025-06-03 16:26:01,341 - Episode 204, Reward: -4920.00, Epsilon: 0.050
2025-06-03 16:26:01,381 - Episode 205, Reward: -4326.50, Epsilon: 0.050
2025-06-03 16:26:01,418 - Episode 206, Reward: -3925.00, Epsilon: 0.050
2025-06-03 16:26:01,457 - Episode 207, Reward: -4244.00, Epsilon: 0.050
2025-06-03 16:26:01,495 - Episode 208, Reward: -3663.50, Epsilon: 0.050
2025-06-03 16:26:01,534 - Episode 209, Reward: -4595.50, Epsilon: 0.050
2025-06-03 16:26:01,573 - Episode 210, Reward: -4806.00, Epsilon: 0.050
2025-06-03 16:26:01,611 - Episode 211, Reward: -4276.50, Epsilon: 0.050
2025-06-03 16:26:01,649 - Episode 212, Reward: -3453.50, Epsilon: 0.050
2025-06-03 16:26:01,687 - Episode 213, Reward: -4493.50, Epsilon: 0.050
2025-06-03 16:26:01,725 - Episode 214, Reward: -4234.50, Epsilon: 0.050
2025-06-03 16:26:01,764 - Episode 215, Reward: -3361.50, Epsilon: 0.050
2025-06-03 16:26:01,802 - Episode 216, Reward: -4318.50, Epsilon: 0.050
2025-06-03 16:26:01,842 - Episode 217, Reward: -4761.00, Epsilon: 0.050
2025-06-03 16:26:01,880 - Episode 218, Reward: -4294.50, Epsilon: 0.050
2025-06-03 16:26:01,918 - Episode 219, Reward: -4286.00, Epsilon: 0.050
2025-06-03 16:26:01,955 - Episode 220, Reward: -4220.50, Epsilon: 0.050
2025-06-03 16:26:01,993 - Episode 221, Reward: -3699.00, Epsilon: 0.050
2025-06-03 16:26:02,032 - Episode 222, Reward: -5324.00, Epsilon: 0.050
2025-06-03 16:26:02,070 - Episode 223, Reward: -4270.50, Epsilon: 0.050
2025-06-03 16:26:02,108 - Episode 224, Reward: -4656.00, Epsilon: 0.050
2025-06-03 16:26:02,147 - Episode 225, Reward: -3649.00, Epsilon: 0.050
2025-06-03 16:26:02,186 - Episode 226, Reward: -3739.00, Epsilon: 0.050
2025-06-03 16:26:02,224 - Episode 227, Reward: -3885.50, Epsilon: 0.050
2025-06-03 16:26:02,262 - Episode 228, Reward: -4848.50, Epsilon: 0.050
2025-06-03 16:26:02,300 - Episode 229, Reward: -4123.00, Epsilon: 0.050
2025-06-03 16:26:02,338 - Episode 230, Reward: -4197.00, Epsilon: 0.050
2025-06-03 16:26:02,377 - Episode 231, Reward: -4355.50, Epsilon: 0.050
2025-06-03 16:26:02,416 - Episode 232, Reward: -4536.50, Epsilon: 0.050
2025-06-03 16:26:02,454 - Episode 233, Reward: -3976.00, Epsilon: 0.050
2025-06-03 16:26:02,493 - Episode 234, Reward: -4336.50, Epsilon: 0.050
2025-06-03 16:26:02,530 - Episode 235, Reward: -3646.50, Epsilon: 0.050
2025-06-03 16:26:02,569 - Episode 236, Reward: -4127.50, Epsilon: 0.050
2025-06-03 16:26:02,608 - Episode 237, Reward: -4166.00, Epsilon: 0.050
2025-06-03 16:26:02,645 - Episode 238, Reward: -4430.50, Epsilon: 0.050
2025-06-03 16:26:02,683 - Episode 239, Reward: -4134.50, Epsilon: 0.050
2025-06-03 16:26:02,721 - Episode 240, Reward: -3863.50, Epsilon: 0.050
2025-06-03 16:26:02,759 - Episode 241, Reward: -4353.50, Epsilon: 0.050
2025-06-03 16:26:02,797 - Episode 242, Reward: -5162.50, Epsilon: 0.050
2025-06-03 16:26:02,834 - Episode 243, Reward: -3281.50, Epsilon: 0.050
2025-06-03 16:26:02,873 - Episode 244, Reward: -4566.00, Epsilon: 0.050
2025-06-03 16:26:02,911 - Episode 245, Reward: -4126.00, Epsilon: 0.050
2025-06-03 16:26:02,949 - Episode 246, Reward: -4375.50, Epsilon: 0.050
2025-06-03 16:26:02,987 - Episode 247, Reward: -4418.50, Epsilon: 0.050
2025-06-03 16:26:03,025 - Episode 248, Reward: -4803.50, Epsilon: 0.050
2025-06-03 16:26:03,062 - Episode 249, Reward: -4038.50, Epsilon: 0.050
2025-06-03 16:26:03,101 - Episode 250, Reward: -4319.00, Epsilon: 0.050
2025-06-03 16:26:03,140 - Episode 251, Reward: -3978.00, Epsilon: 0.050
2025-06-03 16:26:03,178 - Episode 252, Reward: -4403.00, Epsilon: 0.050
2025-06-03 16:26:03,218 - Episode 253, Reward: -3972.00, Epsilon: 0.050
2025-06-03 16:26:03,256 - Episode 254, Reward: -4044.00, Epsilon: 0.050
2025-06-03 16:26:03,294 - Episode 255, Reward: -3973.00, Epsilon: 0.050
2025-06-03 16:26:03,333 - Episode 256, Reward: -3785.50, Epsilon: 0.050
2025-06-03 16:26:03,371 - Episode 257, Reward: -5177.50, Epsilon: 0.050
2025-06-03 16:26:03,409 - Episode 258, Reward: -4513.00, Epsilon: 0.050
2025-06-03 16:26:03,447 - Episode 259, Reward: -5024.00, Epsilon: 0.050
2025-06-03 16:26:03,486 - Episode 260, Reward: -3865.50, Epsilon: 0.050
2025-06-03 16:26:03,524 - Episode 261, Reward: -4013.00, Epsilon: 0.050
2025-06-03 16:26:03,562 - Episode 262, Reward: -3137.00, Epsilon: 0.050
2025-06-03 16:26:03,601 - Episode 263, Reward: -3675.50, Epsilon: 0.050
2025-06-03 16:26:03,639 - Episode 264, Reward: -4232.50, Epsilon: 0.050
2025-06-03 16:26:03,677 - Episode 265, Reward: -4198.50, Epsilon: 0.050
2025-06-03 16:26:03,716 - Episode 266, Reward: -3929.50, Epsilon: 0.050
2025-06-03 16:26:03,754 - Episode 267, Reward: -4005.50, Epsilon: 0.050
2025-06-03 16:26:03,793 - Episode 268, Reward: -3838.50, Epsilon: 0.050
2025-06-03 16:26:03,832 - Episode 269, Reward: -4180.00, Epsilon: 0.050
2025-06-03 16:26:03,870 - Episode 270, Reward: -4386.00, Epsilon: 0.050
2025-06-03 16:26:03,909 - Episode 271, Reward: -3980.50, Epsilon: 0.050
2025-06-03 16:26:03,947 - Episode 272, Reward: -4113.00, Epsilon: 0.050
2025-06-03 16:26:03,984 - Episode 273, Reward: -4180.50, Epsilon: 0.050
2025-06-03 16:26:04,023 - Episode 274, Reward: -4445.50, Epsilon: 0.050
2025-06-03 16:26:04,062 - Episode 275, Reward: -3626.50, Epsilon: 0.050
2025-06-03 16:26:04,100 - Episode 276, Reward: -3454.50, Epsilon: 0.050
2025-06-03 16:26:04,138 - Episode 277, Reward: -4056.00, Epsilon: 0.050
2025-06-03 16:26:04,176 - Episode 278, Reward: -3817.50, Epsilon: 0.050
2025-06-03 16:26:04,214 - Episode 279, Reward: -4769.50, Epsilon: 0.050
2025-06-03 16:26:04,253 - Episode 280, Reward: -4521.50, Epsilon: 0.050
2025-06-03 16:26:04,290 - Episode 281, Reward: -4670.00, Epsilon: 0.050
2025-06-03 16:26:04,329 - Episode 282, Reward: -4784.50, Epsilon: 0.050
2025-06-03 16:26:04,368 - Episode 283, Reward: -4387.50, Epsilon: 0.050
2025-06-03 16:26:04,407 - Episode 284, Reward: -3682.00, Epsilon: 0.050
2025-06-03 16:26:04,445 - Episode 285, Reward: -4307.50, Epsilon: 0.050
2025-06-03 16:26:04,482 - Episode 286, Reward: -3979.50, Epsilon: 0.050
2025-06-03 16:26:04,520 - Episode 287, Reward: -4260.00, Epsilon: 0.050
2025-06-03 16:26:04,589 - Episode 288, Reward: -4346.00, Epsilon: 0.050
2025-06-03 16:26:04,627 - Episode 289, Reward: -3737.00, Epsilon: 0.050
2025-06-03 16:26:04,665 - Episode 290, Reward: -3744.00, Epsilon: 0.050
2025-06-03 16:26:04,703 - Episode 291, Reward: -4063.50, Epsilon: 0.050
2025-06-03 16:26:04,739 - Episode 292, Reward: -4284.00, Epsilon: 0.050
2025-06-03 16:26:04,778 - Episode 293, Reward: -4209.00, Epsilon: 0.050
2025-06-03 16:26:04,815 - Episode 294, Reward: -3676.50, Epsilon: 0.050
2025-06-03 16:26:04,852 - Episode 295, Reward: -4327.00, Epsilon: 0.050
2025-06-03 16:26:04,891 - Episode 296, Reward: -3070.50, Epsilon: 0.050
2025-06-03 16:26:04,929 - Episode 297, Reward: -4128.50, Epsilon: 0.050
2025-06-03 16:26:04,967 - Episode 298, Reward: -5047.50, Epsilon: 0.050
2025-06-03 16:26:05,006 - Episode 299, Reward: -4457.00, Epsilon: 0.050
2025-06-03 16:26:05,045 - Episode 300, Reward: -3831.00, Epsilon: 0.050
2025-06-03 16:26:05,083 - Episode 301, Reward: -4369.50, Epsilon: 0.050
2025-06-03 16:26:05,122 - Episode 302, Reward: -4445.50, Epsilon: 0.050
2025-06-03 16:26:05,161 - Episode 303, Reward: -4060.00, Epsilon: 0.050
2025-06-03 16:26:05,200 - Episode 304, Reward: -5236.50, Epsilon: 0.050
2025-06-03 16:26:05,237 - Episode 305, Reward: -3678.50, Epsilon: 0.050
2025-06-03 16:26:05,275 - Episode 306, Reward: -4244.00, Epsilon: 0.050
2025-06-03 16:26:05,313 - Episode 307, Reward: -4312.00, Epsilon: 0.050
2025-06-03 16:26:05,354 - Episode 308, Reward: -3753.00, Epsilon: 0.050
2025-06-03 16:26:05,392 - Episode 309, Reward: -4108.00, Epsilon: 0.050
2025-06-03 16:26:05,430 - Episode 310, Reward: -4159.50, Epsilon: 0.050
2025-06-03 16:26:05,468 - Episode 311, Reward: -4726.00, Epsilon: 0.050
2025-06-03 16:26:05,506 - Episode 312, Reward: -3711.00, Epsilon: 0.050
2025-06-03 16:26:05,545 - Episode 313, Reward: -3981.00, Epsilon: 0.050
2025-06-03 16:26:05,583 - Episode 314, Reward: -3941.50, Epsilon: 0.050
2025-06-03 16:26:05,621 - Episode 315, Reward: -3638.00, Epsilon: 0.050
2025-06-03 16:26:05,658 - Episode 316, Reward: -3522.00, Epsilon: 0.050
2025-06-03 16:26:05,696 - Episode 317, Reward: -3919.50, Epsilon: 0.050
2025-06-03 16:26:05,733 - Episode 318, Reward: -3636.50, Epsilon: 0.050
